"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/24/2024","AQS","480391012","5","5.7","ug/m3 LC","32","Freeport South Avenue I","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"05/01/2024","AQS","480391012","5","10.1","ug/m3 LC","53","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"05/06/2024","AQS","480391012","5","11.3","ug/m3 LC","55","Freeport South Avenue I","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"05/12/2024","AQS","480391012","5","12","ug/m3 LC","56","Freeport South Avenue I","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"05/18/2024","AQS","480391012","5","11.3","ug/m3 LC","55","Freeport South Avenue I","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"05/24/2024","AQS","480391012","5","19.5","ug/m3 LC","70","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"05/30/2024","AQS","480391012","5","8.9","ug/m3 LC","49","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"06/05/2024","AQS","480391012","5","14","ug/m3 LC","60","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"06/11/2024","AQS","480391012","5","6.4","ug/m3 LC","36","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"06/17/2024","AQS","480391012","5","8.9","ug/m3 LC","49","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"06/23/2024","AQS","480391012","5","5.8","ug/m3 LC","32","Freeport South Avenue I","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"06/29/2024","AQS","480391012","5","13","ug/m3 LC","58","Freeport South Avenue I","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","28.964394","-95.354974"
"01/01/2024","AQS","481671034","2","8.5","ug/m3 LC","47","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/02/2024","AQS","481671034","2","8.5","ug/m3 LC","47","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/03/2024","AQS","481671034","2","7.5","ug/m3 LC","42","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/04/2024","AQS","481671034","2","8.3","ug/m3 LC","46","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/05/2024","AQS","481671034","2","3.9","ug/m3 LC","22","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/06/2024","AQS","481671034","2","9.3","ug/m3 LC","51","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
"01/07/2024","AQS","481671034","2","9.5","ug/m3 LC","52","Galveston 99th Street","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.254474","-94.861289"
