"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/18/2025","AQS","480131090","1","7.9","ug/m3 LC","44","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/19/2025","AQS","480131090","1","3","ug/m3 LC","17","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/20/2025","AQS","480131090","1","2.3","ug/m3 LC","13","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/21/2025","AQS","480131090","1","5.1","ug/m3 LC","28","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/22/2025","AQS","480131090","1","4.2","ug/m3 LC","23","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/23/2025","AQS","480131090","1","5.4","ug/m3 LC","30","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/24/2025","AQS","480131090","1","3.8","ug/m3 LC","21","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/25/2025","AQS","480131090","1","5","ug/m3 LC","28","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/26/2025","AQS","480131090","1","8","ug/m3 LC","44","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/27/2025","AQS","480131090","1","6.9","ug/m3 LC","38","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/28/2025","AQS","480131090","1","10.8","ug/m3 LC","54","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/29/2025","AQS","480131090","1","9","ug/m3 LC","50","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/30/2025","AQS","480131090","1","4.2","ug/m3 LC","23","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"01/31/2025","AQS","480131090","1","4","ug/m3 LC","22","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"02/01/2025","AQS","480131090","1","6.2","ug/m3 LC","34","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"02/02/2025","AQS","480131090","1","6.4","ug/m3 LC","36","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"02/03/2025","AQS","480131090","1","5.5","ug/m3 LC","31","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"02/04/2025","AQS","480131090","1","9","ug/m3 LC","50","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"02/05/2025","AQS","480131090","1","8.8","ug/m3 LC","49","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"02/06/2025","AQS","480131090","1","14.5","ug/m3 LC","61","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
"02/07/2025","AQS","480131090","1","13.8","ug/m3 LC","60","Von Ormy Highway 16","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","41700","San Antonio-New Braunfels, TX","48","Texas","013","Atascosa","29.162997","-98.589158"
