state,county,state_cnty,cnty_fips,pm25_annual,previous_nonatt
Virginia,Roanoke County,"Roanoke County, Virginia",51161,7.5,No
Virginia,Rockingham County,"Rockingham County, Virginia",51165,6.7,No
Virginia,Bristol city,"Bristol city, Virginia",51520,6.5,No
Virginia,Hampton city,"Hampton city, Virginia",51650,6.5,No
Virginia,Lynchburg city,"Lynchburg city, Virginia",51680,5.9,No
Virginia,Norfolk city,"Norfolk city, Virginia",51710,6.5,No
Virginia,Richmond city,"Richmond city, Virginia",51760,7.7,No
Virginia,Salem city,"Salem city, Virginia",51775,6.5,No
Virginia,Virginia Beach city,"Virginia Beach city, Virginia",51810,6.7,No
Washington,Clark County,"Clark County, Washington",53011,9.1,No
Washington,King County,"King County, Washington",53033,8.5,No
Washington,Kitsap County,"Kitsap County, Washington",53035,6.4,No
Washington,Kittitas County,"Kittitas County, Washington",53037,7.5,No
Washington,Okanogan County,"Okanogan County, Washington",53047,13.4,No
Washington,Pierce County,"Pierce County, Washington",53053,8.1,Yes
Washington,Snohomish County,"Snohomish County, Washington",53061,8.9,No
Washington,Stevens County,"Stevens County, Washington",53065,11.6,No
Washington,Yakima County,"Yakima County, Washington",53077,11.8,No
West Virginia,Berkeley County,"Berkeley County, West Virginia",54003,8.2,Yes
West Virginia,Brooke County,"Brooke County, West Virginia",54009,8.5,Yes
West Virginia,Cabell County,"Cabell County, West Virginia",54011,7.1,Yes
West Virginia,Hancock County,"Hancock County, West Virginia",54029,7.8,Yes
West Virginia,Harrison County,"Harrison County, West Virginia",54033,6.9,No
West Virginia,Kanawha County,"Kanawha County, West Virginia",54039,7.5,Yes
West Virginia,Marshall County,"Marshall County, West Virginia",54051,8.4,Yes
West Virginia,Monongalia County,"Monongalia County, West Virginia",54061,7,No
West Virginia,Ohio County,"Ohio County, West Virginia",54069,7.5,Yes
West Virginia,Wood County,"Wood County, West Virginia",54107,7.5,Yes
Wisconsin,Ashland County,"Ashland County, Wisconsin",55003,5.6,No
Wisconsin,Brown County,"Brown County, Wisconsin",55009,7.8,No
Wisconsin,Dane County,"Dane County, Wisconsin",55025,8.8,No
Wisconsin,Dodge County,"Dodge County, Wisconsin",55027,7.9,No
Wisconsin,Eau Claire County,"Eau Claire County, Wisconsin",55035,8.1,No
Wisconsin,Forest County,"Forest County, Wisconsin",55041,5.9,No
Wisconsin,Grant County,"Grant County, Wisconsin",55043,8.7,No
Wisconsin,Kenosha County,"Kenosha County, Wisconsin",55059,7.9,No
Wisconsin,La Crosse County,"La Crosse County, Wisconsin",55063,7.9,No
Wisconsin,Milwaukee County,"Milwaukee County, Wisconsin",55079,9.4,Yes
Wisconsin,Outagamie County,"Outagamie County, Wisconsin",55087,8,No
Wisconsin,Sauk County,"Sauk County, Wisconsin",55111,7.7,No
Wisconsin,Taylor County,"Taylor County, Wisconsin",55119,6.7,No
Wisconsin,Vilas County,"Vilas County, Wisconsin",55125,5.3,No
Wisconsin,Waukesha County,"Waukesha County, Wisconsin",55133,9.2,Yes
Wyoming,Fremont County,"Fremont County, Wyoming",56013,2,No
Wyoming,Laramie County,"Laramie County, Wyoming",56021,4.9,No
Wyoming,Natrona County,"Natrona County, Wyoming",56025,3.8,No
Wyoming,Park County,"Park County, Wyoming",56029,4.9,No
Wyoming,Sublette County,"Sublette County, Wyoming",56035,3.6,No
Wyoming,Teton County,"Teton County, Wyoming",56039,4.5,No
