site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,min_date,max_date,daily_cnt,cnty_fips,cnty_nm,latitude,longitude,location_type,sensor_created_date,county,compliance_2024,monitor_type
127441,,8.280101851851851,8.49100529100529,,0.0,0.0,4.0,61.31333333333333,0.1133333333333333,July 2022,December 2024,720.0,48201.0,Harris,29.809729,-95.280334,0.0,2021-09-14 01:25:57,Harris,in,PurpleAir
127451,5.783439306358381,7.098444444444444,5.925601851851852,6.269161867551559,0.0,0.0,1.0,54.28666666666667,0.2266666666666666,January 2022,December 2024,874.0,48201.0,Harris,29.778414,-95.35952,0.0,2021-09-14 01:32:07,Harris,in,PurpleAir
127463,5.950871794871794,7.202569444444445,6.753086053412463,6.635509097576235,0.0,0.0,1.0,40.68666666666667,0.2266666666666666,January 2022,December 2024,998.0,48201.0,Harris,29.803877,-95.30717,0.0,2021-09-14 02:10:28,Harris,in,PurpleAir
127973,5.522203947368421,7.002403755868545,7.150946969696969,6.558518224311311,0.0,0.0,1.0,39.49666666666667,0.2266666666666666,February 2022,December 2024,1011.0,48201.0,Harris,30.001331,-95.46131,0.0,2021-09-16 01:16:39,Harris,in,PurpleAir
127995,,6.301574468085106,5.384124031007752,,0.0,0.0,0.0,28.616666666666667,0.3399999999999999,May 2022,December 2024,559.0,48201.0,Harris,29.80605,-95.368034,0.0,2021-09-16 01:45:23,Harris,in,PurpleAir
128007,4.907543859649122,6.281792014856082,5.817777777777778,5.669037884094327,0.0,0.0,2.0,38.70333333333333,0.2266666666666666,February 2022,December 2024,1045.0,48201.0,Harris,29.670757,-95.1453,0.0,2021-09-16 01:46:11,Harris,in,PurpleAir
133994,4.798458458458458,5.648423551756885,5.98664563617245,5.477842548795931,0.0,0.0,2.0,44.879999999999995,0.3966666666666666,January 2022,December 2024,1001.0,48201.0,Harris,29.741404,-95.33349,0.0,2021-10-20 19:25:40,Harris,in,PurpleAir
135062,7.798612191958496,9.348040345821326,9.174823717948717,8.77382541857618,0.0,2.0,4.0,67.66,1.4733333333333334,March 2022,September 2024,812.0,48201.0,Harris,29.799835,-95.409004,0.0,2021-10-27 21:16:28,Harris,out,PurpleAir
148709,,11.179643916913946,10.393611111111111,,0.0,2.0,5.0,65.16666666666666,1.8133333333333337,July 2022,December 2024,874.0,48201.0,Harris,29.77624,-95.10313,0.0,2022-06-09 23:04:56,Harris,out,PurpleAir
155367,,9.854968847352024,9.842195945945946,,0.0,2.0,2.0,48.05333333333333,1.6433333333333335,September 2022,December 2024,609.0,48201.0,Harris,29.822277,-95.42584,0.0,2022-07-18 21:38:56,Harris,out,PurpleAir
161015,,,9.57692077727952,,0.0,1.0,3.0,46.46666666666667,1.5299999999999998,May 2024,December 2024,223.0,48157.0,Fort Bend,29.574024,-95.52899,0.0,2022-08-31 21:59:09,Fort Bend,out,PurpleAir
161141,,,8.179702564102564,,0.0,0.0,1.0,49.86666666666666,1.2466666666666668,December 2023,December 2024,344.0,48157.0,Fort Bend,29.55004,-95.68345,0.0,2022-09-01 19:38:55,Fort Bend,in,PurpleAir
