site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,min_date,max_date,daily_cnt,cnty_fips,cnty_nm,latitude,longitude,location_type,sensor_created_date,compliance_2024,monitor_type
127441,,7.3059722222222225,7.492063492063492,,0.0,0.0,3.0,54.1,0.1,July 2022,December 2024,720.0,48201.0,Harris,29.809729,-95.280334,0.0,2021-09-14 01:25:57,in,PurpleAir
127451,5.103034682080925,6.223662551440329,4.979375,5.435357411173752,0.0,0.0,1.0,47.900000000000006,0.2,January 2022,December 2024,909.0,48201.0,Harris,29.778414,-95.35952,0.0,2021-09-14 01:32:07,in,PurpleAir
127463,5.25076923076923,6.355208333333333,5.95860534124629,5.854860968449618,0.0,0.0,1.0,35.9,0.2,January 2022,December 2024,998.0,48201.0,Harris,29.803877,-95.30717,0.0,2021-09-14 02:10:28,in,PurpleAir
127973,4.8322475570032575,6.073618784530387,6.202646239554317,5.702837527029321,0.0,0.0,0.0,34.85,0.2,February 2022,December 2024,1028.0,48201.0,Harris,30.001331,-95.46131,0.0,2021-09-16 01:16:39,in,PurpleAir
127995,,5.52092050209205,4.652238805970149,,0.0,0.0,0.0,28.1,0.3,May 2022,December 2024,616.0,48201.0,Harris,29.80605,-95.368034,0.0,2021-09-16 01:45:23,in,PurpleAir
128007,4.330185758513932,5.542757660167131,5.133333333333334,5.002092250671466,0.0,0.0,0.0,34.15,0.2,February 2022,December 2024,1045.0,48201.0,Harris,29.670757,-95.1453,0.0,2021-09-16 01:46:11,in,PurpleAir
133994,3.970303867403315,4.854419889502762,4.795454545454546,4.5400594341202085,0.0,0.0,1.0,39.599999999999994,0.15000000000000002,January 2022,December 2024,1087.0,48201.0,Harris,29.741404,-95.33349,0.0,2021-10-20 19:25:40,in,PurpleAir
135062,6.881128404669261,8.248270893371759,7.61063492063492,7.580011406225313,0.0,0.0,3.0,59.7,1.05,March 2022,December 2024,919.0,48201.0,Harris,29.799835,-95.409004,0.0,2021-10-27 21:16:28,in,PurpleAir
148709,,9.86439169139466,9.170833333333333,,0.0,2.0,3.0,57.5,1.6,July 2022,December 2024,874.0,48201.0,Harris,29.77624,-95.10313,0.0,2022-06-09 23:04:56,out,PurpleAir
155367,,8.695560747663551,8.684290540540541,,0.0,0.0,1.0,42.4,1.4500000000000002,September 2022,December 2024,609.0,48201.0,Harris,29.822277,-95.42584,0.0,2022-07-18 21:38:56,in,PurpleAir
161003,,,4.0036764705882355,,0.0,0.0,1.0,35.4,0.6,May 2024,December 2024,204.0,48157.0,Fort Bend,29.585194,-95.45126,0.0,2022-08-31 21:53:23,in,PurpleAir
161015,,,8.450224215246637,,0.0,0.0,2.0,41.0,1.35,May 2024,December 2024,223.0,48157.0,Fort Bend,29.574024,-95.52899,0.0,2022-08-31 21:59:09,in,PurpleAir
161141,,,7.217384615384615,,0.0,0.0,1.0,44.0,1.1,December 2023,December 2024,344.0,48157.0,Fort Bend,29.55004,-95.68345,0.0,2022-09-01 19:38:55,in,PurpleAir
161159,,,8.069968051118211,,0.0,0.0,4.0,59.85,0.65,November 2023,December 2024,368.0,48157.0,Fort Bend,29.57438,-95.584496,0.0,2022-09-01 19:39:10,in,PurpleAir
165203,,8.26625,7.412121212121212,,0.0,0.0,0.0,34.650000000000006,0.7,October 2022,December 2024,807.0,48201.0,Harris,30.023579,-95.45273,0.0,2022-09-29 21:44:38,in,PurpleAir
166381,,,8.729741379310344,,0.0,0.0,2.0,39.75,1.2000000000000002,June 2023,December 2024,487.0,48201.0,Harris,29.801435,-95.09357,0.0,2022-10-11 16:12:21,in,PurpleAir
166391,,7.615853658536586,8.412732919254658,,0.0,0.0,1.0,35.55,1.6,June 2023,December 2024,527.0,48201.0,Harris,29.79698,-95.07921,0.0,2022-10-11 16:12:38,in,PurpleAir
166399,,,8.631791907514451,,0.0,0.0,1.0,37.7,1.25,June 2023,December 2024,524.0,48201.0,Harris,29.803095,-95.096,0.0,2022-10-11 16:12:47,in,PurpleAir
166413,,,8.305223880597014,,0.0,0.0,2.0,40.8,0.8500000000000001,July 2023,December 2024,379.0,48201.0,Harris,29.763874,-94.968155,0.0,2022-10-11 16:16:58,in,PurpleAir
166421,,,10.623305084745763,,0.0,1.0,2.0,44.05,2.5,August 2023,December 2024,505.0,48201.0,Harris,29.82794,-95.283745,0.0,2022-10-11 16:19:13,out,PurpleAir
166427,,7.125392670157068,,,0.0,0.0,0.0,33.5,1.25,June 2023,December 2024,348.0,48201.0,Harris,29.763205,-95.00236,0.0,2022-10-11 16:21:14,in,PurpleAir
166435,,9.31822033898305,9.77089552238806,,0.0,2.0,3.0,82.5,1.2999999999999998,May 2023,December 2024,571.0,48201.0,Harris,29.74531,-95.2333,0.0,2022-10-11 16:25:07,out,PurpleAir
166441,,8.76609756097561,9.670936639118457,,0.0,1.0,2.0,40.5,2.25,June 2023,December 2024,568.0,48201.0,Harris,29.776548,-95.153625,0.0,2022-10-11 16:25:10,out,PurpleAir
173719,,7.1848314606741575,7.161357340720222,,0.0,0.0,3.0,51.849999999999994,0.75,January 2023,December 2024,717.0,48201.0,Harris,29.775267,-95.693016,0.0,2022-12-22 22:08:58,in,PurpleAir
180145,,,3.2526755852842806,,0.0,0.0,0.0,18.65,0.35,September 2023,December 2024,401.0,48291.0,Liberty,30.0583,-94.9781,0.0,2023-04-28 22:04:11,in,PurpleAir
181765,,,10.491737891737891,,0.0,1.0,3.0,44.099999999999994,1.6,May 2023,December 2024,440.0,48201.0,Harris,29.822308,-95.30618,0.0,2023-05-22 19:32:12,out,PurpleAir
186271,,,10.580140845070423,,0.0,1.0,4.0,42.55,1.65,October 2023,December 2024,443.0,48201.0,Harris,29.777805,-95.13781,0.0,2023-06-29 23:12:50,out,PurpleAir
186277,,,9.742896935933148,,0.0,1.0,2.0,44.15,1.45,November 2023,December 2024,404.0,48201.0,Harris,29.81704,-95.0665,0.0,2023-06-29 23:13:05,out,PurpleAir
186303,,,9.780407523510972,,0.0,1.0,2.0,43.45,1.45,February 2024,December 2024,319.0,48201.0,Harris,29.781633,-95.35113,0.0,2023-06-29 23:18:57,out,PurpleAir
186315,,,9.012394366197183,,0.0,1.0,3.0,45.1,1.2000000000000002,July 2023,December 2024,518.0,48201.0,Harris,29.708698,-95.477104,0.0,2023-06-29 23:20:58,out,PurpleAir
186327,,,9.797270114942528,,0.0,1.0,3.0,54.15,1.6,December 2023,December 2024,349.0,48201.0,Harris,29.79457,-95.14891,0.0,2023-06-29 23:22:53,out,PurpleAir
191215,,,10.05599173553719,,0.0,1.0,1.0,40.0,2.0,August 2023,December 2024,391.0,48201.0,Harris,29.798594,-95.358116,0.0,2023-08-04 18:27:00,out,PurpleAir
194469,,,8.625208913649024,,0.0,0.0,2.0,75.1,0.6499999999999999,October 2023,December 2024,428.0,48201.0,Harris,30.094578,-95.48181,0.0,2023-09-06 15:15:03,in,PurpleAir
199057,,,9.330617977528089,,0.0,1.0,1.0,39.85,0.75,November 2023,December 2024,394.0,48339.0,Montgomery,30.176702,-95.50417,0.0,2023-10-16 14:17:22,out,PurpleAir
208397,,,7.6116099071207435,,0.0,0.0,1.0,37.05,1.0,February 2024,December 2024,323.0,48201.0,Harris,29.5832,-95.03727,0.0,2023-12-27 16:46:07,in,PurpleAir
