longitude,latitude,site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,cnty_fips,county,monitor_type,compliance_2024,min_date,max_date,daily_cnt
-95.1453,29.670757,128007,4.330185758513932,5.542757660167131,5.133333333333334,5.002092250671466,0.0,0.0,0.0,34.15,0.2,48201.0,,PurpleAir,in,February 2022,December 2024,1045.0
-95.33349,29.741404,133994,3.970303867403315,4.854419889502762,4.795454545454546,4.5400594341202085,0.0,0.0,1.0,39.599999999999994,0.15000000000000002,48201.0,,PurpleAir,in,January 2022,December 2024,1087.0
-95.409004,29.799835,135062,6.881128404669261,8.248270893371759,7.61063492063492,7.580011406225313,0.0,0.0,3.0,59.7,1.05,48201.0,,PurpleAir,in,March 2022,December 2024,919.0
-95.10313,29.77624,148709,,9.86439169139466,9.170833333333333,,0.0,2.0,3.0,57.5,1.6,48201.0,,PurpleAir,out,July 2022,December 2024,874.0
-95.42584,29.822277,155367,,8.695560747663551,8.684290540540541,,0.0,0.0,1.0,42.4,1.4500000000000002,48201.0,,PurpleAir,in,September 2022,December 2024,609.0
-95.45126,29.585194,161003,,,4.0036764705882355,,0.0,0.0,1.0,35.4,0.6,48157.0,,PurpleAir,in,May 2024,December 2024,204.0
-95.52899,29.574024,161015,,,8.450224215246637,,0.0,0.0,2.0,41.0,1.35,48157.0,,PurpleAir,in,May 2024,December 2024,223.0
-95.68345,29.55004,161141,,,7.217384615384615,,0.0,0.0,1.0,44.0,1.1,48157.0,,PurpleAir,in,December 2023,December 2024,344.0
-95.584496,29.57438,161159,,,8.069968051118211,,0.0,0.0,4.0,59.85,0.65,48157.0,,PurpleAir,in,November 2023,December 2024,368.0
-95.45273,30.023579,165203,,8.26625,7.412121212121212,,0.0,0.0,0.0,34.650000000000006,0.7,48201.0,,PurpleAir,in,October 2022,December 2024,807.0
-95.09357,29.801435,166381,,,8.729741379310344,,0.0,0.0,2.0,39.75,1.2000000000000002,48201.0,,PurpleAir,in,June 2023,December 2024,487.0
-95.07921,29.79698,166391,,7.615853658536586,8.412732919254658,,0.0,0.0,1.0,35.55,1.6,48201.0,,PurpleAir,in,June 2023,December 2024,527.0
-95.096,29.803095,166399,,,8.631791907514451,,0.0,0.0,1.0,37.7,1.25,48201.0,,PurpleAir,in,June 2023,December 2024,524.0
-94.968155,29.763874,166413,,,8.305223880597014,,0.0,0.0,2.0,40.8,0.8500000000000001,48201.0,,PurpleAir,in,July 2023,December 2024,379.0
