longitude,latitude,site_id,avg_2022,avg_2023,avg_2024,avg2022_24,yrs_over12,yrs_over9,over35,max_read,min_read,cnty_fips,county,monitor_type,compliance_2024,min_date,max_date,daily_cnt
-95.07647,29.532282,2386,6.55767955801105,7.72889502762431,7.111431209602954,7.132668598412772,0.0,0.0,2.0,37.96666666666667,0.9066666666666668,48167.0,Galveston,PurpleAir,in,January 2022,December 2024,1085.0
-95.73739,29.955063,3033,7.232625118035883,9.185047892720306,9.415743145743146,8.611138718833113,0.0,2.0,1.0,38.64666666666666,1.6433333333333335,48201.0,Harris,PurpleAir,out,January 2022,November 2024,932.0
-95.12009,29.58335,3298,8.50281767955801,9.88160220994475,9.340945821854913,9.241788570452558,0.0,2.0,4.0,46.35333333333333,1.3033333333333332,48201.0,Harris,PurpleAir,out,January 2022,December 2024,1087.0
-95.70764,29.762896,3777,6.679303201506592,9.09705772811918,8.383,8.053120309875256,0.0,1.0,4.0,49.81,0.7933333333333332,48201.0,Harris,PurpleAir,in,January 2022,December 2024,1052.0
-95.30876,29.71706,6752,7.9630833333333335,8.481898148148147,7.498726053639848,7.981235845040442,0.0,0.0,2.0,41.53666666666667,1.19,48201.0,Harris,PurpleAir,in,January 2022,December 2024,1068.0
-95.494644,30.053808,25999,8.369795037756202,9.728333333333333,11.146413145539906,9.748180505543148,0.0,2.0,6.0,86.98333333333332,0.9633333333333332,48201.0,Harris,PurpleAir,out,January 2022,December 2024,1004.0
-95.113846,29.790651,27905,8.294898148148148,7.42159217877095,5.982932900432901,7.2331410757839985,0.0,0.0,1.0,45.843333333333334,1.02,48201.0,Harris,PurpleAir,in,January 2022,December 2024,1026.0
-95.585686,29.73305,28851,7.378876611418048,8.522730696798494,8.125152354570636,8.008919887595725,0.0,0.0,3.0,47.88333333333333,0.9633333333333334,48201.0,Harris,PurpleAir,in,January 2022,December 2024,1077.0
-95.74033,29.557081,30593,6.555174953959485,7.673676880222841,,,0.0,0.0,2.0,39.32666666666667,0.9066666666666666,48157.0,Fort Bend,PurpleAir,in,January 2022,July 2024,895.0
-95.37274,29.78264,31163,7.078949379178606,8.085161744022503,6.932550724637681,7.365553949279597,0.0,0.0,1.0,45.73,0.85,48201.0,Harris,PurpleAir,in,January 2022,October 2024,816.0
-95.39085,29.740562,47879,,9.24240506329114,8.951616161616162,,0.0,1.0,2.0,44.25666666666666,1.36,48201.0,Harris,PurpleAir,in,April 2023,December 2024,600.0
