time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1697760000,8.1,8.9,166441
1701993600,3.3,3.5,166441
1701388800,15.0,15.0,166441
1700697600,34.6,34.2,166441
1693180800,12.9,12.8,166441
1691712000,5.3,5.3,166441
1703980800,13.0,12.2,166441
1700611200,10.6,10.6,166441
1692403200,4.2,4.2,166441
1695254400,5.6,5.8,166441
1686268800,9.9,10.9,166441
1703030400,4.3,4.3,166441
1689292800,7.0,6.8,166441
1701820800,17.6,17.0,166441
1697328000,3.5,3.6,166441
1693353600,11.8,11.9,166441
1702598400,21.9,22.2,166441
1691280000,4.9,4.9,166441
1690329600,6.9,6.4,166441
1688256000,7.5,7.9,166441
1700265600,16.7,17.4,166441
1697673600,6.0,6.5,166441
1692316800,5.3,5.4,166441
1688688000,6.0,6.3,166441
1689724800,7.7,7.4,166441
1696982400,8.0,8.6,166441
1695081600,13.2,14.0,166441
1691971200,8.3,8.5,166441
1696550400,9.2,9.3,166441
1699401600,2.4,2.5,166441
1691366400,5.9,6.0,166441
1688860800,4.4,4.2,166441
1703116800,9.3,9.7,166441
1698278400,7.8,8.0,166441
1689897600,6.5,6.2,166441
1686614400,6.3,6.9,166441
1687219200,9.9,10.3,166441
1701907200,11.8,11.5,166441
1699833600,10.0,10.4,166441
1702857600,17.1,16.0,166441
1689120000,7.2,7.1,166441
1692921600,9.7,9.5,166441
1691452800,6.6,6.7,166441
1702684800,6.4,6.6,166441
1699142400,8.4,9.1,166441
1697500800,6.8,7.2,166441
1699488000,5.2,5.4,166441
1702425600,13.1,13.1,166441
1688083200,6.3,6.7,166441
1691193600,4.9,4.8,166441
1696723200,4.9,5.2,166441
1694304000,13.8,13.8,166441
1686960000,15.4,15.9,166441
1694044800,5.5,5.5,166441
1698710400,5.8,5.7,166441
1698969600,10.5,10.9,166441
1701302400,6.1,6.0,166441
1692662400,4.3,4.1,166441
1692489600,5.7,5.6,166441
1690156800,8.6,9.2,166441
1697414400,2.8,3.0,166441
1701129600,6.3,6.0,166441
1699660800,4.6,4.6,166441
1686873600,13.3,13.8,166441
1697068800,7.6,8.1,166441
1690761600,6.1,6.2,166441
1695859200,14.1,14.6,166441
1694995200,16.5,17.5,166441
1699574400,4.1,4.2,166441
1690416000,8.1,7.5,166441
1700438400,9.2,9.8,166441
1693958400,5.6,5.6,166441
1700524800,5.8,6.0,166441
1695513600,3.9,4.2,166441
1692835200,7.1,6.8,166441
1692144000,4.8,5.1,166441
1688169600,6.5,6.9,166441
1687824000,4.9,4.9,166441
1702771200,12.9,11.9,166441
1699315200,3.4,3.7,166441
1689811200,7.0,6.8,166441
1688774400,4.2,4.3,166441
1686700800,14.2,14.4,166441
1700092800,8.1,8.1,166441
1691798400,6.5,6.5,166441
1696204800,11.2,11.8,166441
1689379200,9.8,9.8,166441
1690502400,8.5,8.2,166441
1694217600,5.7,5.9,166441
1703289600,10.4,10.9,166441
1696032000,18.0,17.7,166441
1703808000,10.1,8.8,166441
1700352000,27.0,27.9,166441
1698019200,5.1,5.6,166441
1687737600,6.0,6.2,166441
1703462400,11.3,11.0,166441
1687651200,4.6,4.7,166441
1689033600,6.9,6.8,166441
1694736000,12.3,12.8,166441
1691884800,9.6,9.9,166441
1689206400,5.1,5.0,166441
1703721600,5.5,5.0,166441
1693267200,12.6,12.5,166441
1691020800,7.8,8.3,166441
1697932800,5.3,5.8,166441
1688342400,10.3,10.9,166441
1694908800,11.5,12.0,166441
1699056000,8.7,9.3,166441
1690243200,4.6,4.6,166441
1698192000,6.5,7.0,166441
1701561600,18.8,18.9,166441
1687132800,8.8,9.2,166441
1688947200,7.5,7.1,166441
1694390400,10.4,11.0,166441
1693008000,14.1,14.1,166441
1701734400,11.9,11.8,166441
1700179200,13.5,13.9,166441
