time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1684713600,21.2,24.9,127451
1667952000,4.0,5.2,127451
1670889600,5.4,7.1,127451
1657670400,4.6,6.1,127451
1679270400,10.2,9.9,127451
1656979200,3.8,4.6,127451
1656115200,3.4,4.5,127451
1656374400,6.9,9.0,127451
1648598400,3.1,3.7,127451
1651708800,4.4,5.4,127451
1678752000,9.5,10.4,127451
1649030400,5.2,6.5,127451
1684972800,15.2,18.3,127451
1653004800,11.0,13.4,127451
1644624000,11.0,12.0,127451
1703548800,1.6,1.8,127451
1656892800,3.5,4.2,127451
1658448000,3.7,4.8,127451
1676592000,0.6,0.5,127451
1655337600,6.7,8.0,127451
1670112000,8.7,10.1,127451
1684281600,2.0,2.9,127451
1644278400,4.0,4.3,127451
1686182400,4.5,6.7,127451
1647993600,0.2,0.3,127451
1660953600,1.7,2.3,127451
1645315200,5.7,6.7,127451
1644451200,4.9,5.7,127451
1649289600,0.7,0.8,127451
1674777600,9.1,9.1,127451
1680652800,5.9,7.4,127451
1657584000,4.3,5.3,127451
1654646400,5.0,6.2,127451
1676246400,13.7,13.9,127451
1651968000,16.6,17.4,127451
1691107200,1.1,1.5,127451
1683936000,5.6,7.5,127451
1662595200,6.7,9.3,127451
1652140800,2.4,3.2,127451
1675036800,6.5,6.6,127451
1657324800,0.9,1.0,127451
1647820800,2.4,3.0,127451
1644969600,1.9,2.3,127451
1690502400,3.4,5.4,127451
1661299200,1.5,1.9,127451
1692403200,1.0,1.4,127451
1676851200,2.6,3.3,127451
1647475200,2.2,2.6,127451
1653177600,3.9,4.8,127451
1676505600,3.0,3.7,127451
1653436800,0.9,1.1,127451
1642982400,12.6,14.1,127451
1671494400,0.8,0.8,127451
1687392000,5.2,7.3,127451
1645142400,2.9,3.0,127451
1674000000,7.0,8.7,127451
1681084800,1.9,2.3,127451
1680480000,10.4,12.4,127451
1654387200,7.9,9.6,127451
1650499200,2.3,3.1,127451
1677196800,5.2,6.6,127451
1670198400,8.1,9.0,127451
1678320000,15.4,17.8,127451
1680393600,9.4,11.6,127451
1667606400,1.7,2.1,127451
1674950400,3.3,4.3,127451
1648425600,1.0,1.1,127451
1662681600,10.4,13.8,127451
1682640000,3.7,5.0,127451
1658793600,0.8,0.9,127451
1662854400,10.9,14.3,127451
1646956800,10.8,12.7,127451
1669766400,8.6,9.0,127451
1660089600,2.0,2.7,127451
1690848000,2.3,3.3,127451
1643673600,3.4,4.2,127451
1689120000,2.8,3.8,127451
1655942400,0.8,1.0,127451
1676937600,4.2,5.4,127451
1666396800,0.6,0.7,127451
1672963200,7.6,8.5,127451
1676073600,13.3,12.5,127451
1651622400,5.9,7.2,127451
1690588800,3.9,6.0,127451
1683763200,5.1,7.2,127451
1681776000,1.5,1.9,127451
1652486400,3.1,3.7,127451
1662163200,9.9,13.7,127451
1660780800,1.1,1.3,127451
1656288000,4.5,6.0,127451
1671667200,20.5,20.6,127451
1667865600,5.1,6.2,127451
1661385600,3.8,5.2,127451
1665532800,3.3,4.6,127451
1659830400,1.9,2.5,127451
1671062400,1.4,1.7,127451
1669852800,1.7,1.8,127451
1679097600,1.1,1.0,127451
1674432000,4.3,4.3,127451
1656806400,1.9,2.6,127451
1666483200,0.3,0.3,127451
1678924800,3.5,4.5,127451
1691625600,4.1,6.0,127451
1659916800,1.0,1.2,127451
1678060800,15.4,17.7,127451
1665360000,7.3,9.6,127451
1652832000,2.8,3.6,127451
1651795200,4.7,5.5,127451
1670803200,8.6,10.4,127451
1687737600,2.1,3.0,127451
1669334400,1.5,1.7,127451
1682899200,1.4,1.8,127451
1668384000,4.7,4.9,127451
1644796800,4.1,4.5,127451
1677369600,11.2,13.5,127451
1688342400,4.8,6.7,127451
1677628800,10.3,12.4,127451
1691452800,2.4,4.1,127451
1681344000,4.8,6.0,127451
1657065600,1.5,1.9,127451
1647648000,3.8,4.3,127451
1684195200,3.9,5.4,127451
1666656000,0.7,0.9,127451
1693008000,7.2,10.4,127451
1686268800,4.0,6.0,127451
1667520000,2.8,3.9,127451
1649894400,2.9,3.5,127451
1666137600,1.0,1.0,127451
1646611200,3.6,4.1,127451
1665100800,8.6,11.5,127451
1674259200,2.2,2.4,127451
1661126400,2.7,3.5,127451
1689897600,2.1,3.1,127451
1675814400,2.4,3.3,127451
1656460800,7.2,9.1,127451
1671926400,13.8,13.7,127451
1653868800,1.4,1.8,127451
1681430400,1.2,1.4,127451
1686096000,14.1,18.2,127451
1669680000,14.6,16.5,127451
1688860800,2.0,2.6,127451
1687478400,7.0,9.4,127451
1673568000,0.9,0.9,127451
1647734400,3.5,4.2,127451
1666742400,2.4,2.7,127451
1680220800,5.5,6.9,127451
1656028800,1.0,1.2,127451
1691712000,1.6,2.5,127451
1682294400,4.6,5.4,127451
1658534400,1.9,2.6,127451
1684800000,22.8,26.5,127451
1650758400,1.8,2.5,127451
1673481600,1.7,2.1,127451
1659398400,1.0,1.2,127451
1677283200,7.0,8.7,127451
1667088000,5.1,6.3,127451
1655164800,4.1,5.0,127451
1650240000,5.8,7.3,127451
1651190400,1.3,1.5,127451
1651276800,3.8,4.7,127451
1648166400,1.7,1.9,127451
1643328000,4.9,5.6,127451
1687651200,1.5,2.1,127451
1653091200,8.4,10.5,127451
1691539200,3.1,5.0,127451
1681603200,2.0,2.4,127451
1686355200,2.0,3.1,127451
1664841600,4.8,6.0,127451
1645401600,8.6,9.8,127451
1671235200,1.5,1.6,127451
1690761600,2.2,3.0,127451
1668038400,5.5,7.0,127451
1657497600,1.3,1.6,127451
1642809600,2.4,2.6,127451
1668988800,4.6,4.7,127451
1666224000,1.6,1.7,127451
1655078400,5.4,6.7,127451
1682121600,1.9,2.4,127451
1671753600,0.9,0.8,127451
1703980800,10.6,12.2,127451
1672272000,3.2,4.3,127451
1657238400,1.9,2.3,127451
1668297600,4.0,4.1,127451
1685836800,2.5,3.8,127451
1678838400,49.2,46.6,127451
1688601600,0.7,0.9,127451
1678665600,4.3,5.0,127451
1670457600,8.4,10.5,127451
1681862400,1.3,1.8,127451
1677888000,10.3,11.4,127451
1666915200,7.2,9.0,127451
1673740800,1.9,2.1,127451
1668902400,5.6,5.5,127451
1664236800,2.3,3.0,127451
1661212800,1.3,1.6,127451
1689811200,3.0,4.3,127451
1654905600,2.1,2.7,127451
1688774400,1.3,1.6,127451
1652054400,5.4,6.5,127451
1667779200,4.1,5.2,127451
1676160000,17.9,18.1,127451
1648512000,1.6,2.0,127451
1682553600,5.3,7.0,127451
1683244800,14.2,17.2,127451
1676419200,11.4,12.9,127451
1692489600,1.8,2.9,127451
1656201600,4.5,6.1,127451
1675123200,2.3,2.2,127451
1703116800,6.2,8.6,127451
1653609600,1.6,2.0,127451
1679184000,2.4,2.5,127451
1674518400,2.1,2.3,127451
1652745600,2.3,3.1,127451
1657152000,1.2,1.3,127451
1646524800,4.6,5.7,127451
1646784000,5.3,5.8,127451
1685318400,4.8,6.6,127451
1660694400,1.4,1.7,127451
1644883200,6.8,7.3,127451
1668211200,1.0,0.9,127451
1670025600,3.9,5.0,127451
1679616000,5.7,7.2,127451
1668556800,4.1,4.1,127451
1649203200,19.1,20.1,127451
1663545600,1.5,2.2,127451
1649808000,7.9,9.3,127451
1648080000,0.9,1.0,127451
1692662400,1.1,1.8,127451
1684886400,22.8,26.6,127451
1691971200,2.6,4.4,127451
1655510400,2.9,3.7,127451
1646092800,10.2,11.5,127451
1654732800,9.8,11.1,127451
1666828800,4.9,5.8,127451
1683331200,10.8,13.5,127451
1703635200,4.4,5.6,127451
1686873600,8.6,11.5,127451
1654819200,2.5,3.3,127451
1664409600,4.9,6.0,127451
1672358400,3.6,4.8,127451
1664582400,5.4,6.5,127451
1674604800,0.8,0.8,127451
1651536000,5.7,6.9,127451
1669939200,3.8,4.6,127451
1654041600,0.6,0.7,127451
1681257600,3.8,4.7,127451
1682985600,3.3,4.4,127451
1673308800,9.4,10.6,127451
1655596800,1.6,2.1,127451
1660176000,7.3,9.4,127451
1652400000,1.8,2.1,127451
1658880000,1.4,1.8,127451
1682812800,3.5,4.2,127451
1687996800,1.8,2.6,127451
1675900800,3.1,3.5,127451
1658102400,3.0,3.7,127451
1689724800,2.3,3.5,127451
1656547200,3.3,4.0,127451
1663027200,9.4,12.4,127451
1649462400,2.5,2.9,127451
1670976000,2.4,3.2,127451
1703721600,1.0,1.2,127451
1643932800,5.3,5.5,127451
1667260800,12.3,15.1,127451
1684540800,2.6,4.0,127451
1686441600,2.5,3.5,127451
1680912000,2.8,3.5,127451
1683849600,5.3,7.3,127451
1673222400,9.2,10.1,127451
1685664000,8.9,12.2,127451
1691798400,2.6,4.1,127451
1688428800,4.3,5.9,127451
1668124800,1.5,1.8,127451
1672444800,9.4,11.2,127451
1690329600,3.1,4.3,127451
1686960000,12.5,15.7,127451
1692057600,2.1,3.6,127451
1674172800,7.2,7.6,127451
1646438400,5.2,6.4,127451
1659657600,3.6,4.8,127451
1644537600,3.9,4.5,127451
1685059200,14.5,17.4,127451
1680825600,0.6,0.7,127451
1680048000,5.0,6.1,127451
1663113600,7.2,10.0,127451
1662336000,2.1,2.9,127451
1651449600,4.4,5.6,127451
1665792000,6.3,8.2,127451
1660262400,4.7,6.3,127451
1684108800,4.6,6.5,127451
1684022400,1.9,2.6,127451
1642550400,2.7,3.1,127451
1649376000,1.0,1.1,127451
1663977600,10.2,13.6,127451
1647129600,9.8,10.2,127451
1663372800,2.8,4.5,127451
1672012800,7.2,7.6,127451
1687219200,5.0,7.0,127451
1686787200,11.8,14.9,127451
1654992000,3.4,4.3,127451
1692316800,1.3,1.9,127451
1648252800,2.6,3.2,127451
1661040000,2.4,3.2,127451
1672704000,5.0,6.4,127451
1692230400,3.1,4.7,127451
1674691200,8.2,8.4,127451
1652313600,3.0,4.0,127451
1672099200,6.9,7.5,127451
1659139200,1.9,2.4,127451
1687132800,4.0,5.6,127451
1657929600,2.2,2.8,127451
1642464000,0.2,0.2,127451
1648684800,2.6,3.1,127451
1680134400,5.7,6.9,127451
1644710400,1.6,1.6,127451
1689638400,3.2,4.4,127451
1692748800,1.6,2.6,127451
1683072000,2.9,4.2,127451
1684368000,5.0,7.0,127451
1660867200,5.0,6.7,127451
1643846400,2.0,2.2,127451
1685923200,6.2,8.6,127451
1649116800,15.4,16.8,127451
1667347200,12.6,15.6,127451
1678233600,14.0,16.2,127451
1686528000,1.6,2.2,127451
1651017600,2.4,3.0,127451
1687305600,5.6,7.9,127451
1664150400,3.9,5.3,127451
1644364800,3.0,3.4,127451
1649721600,7.4,9.0,127451
1659484800,1.3,1.5,127451
1674345600,6.1,6.3,127451
1647907200,5.1,6.0,127451
1643241600,4.7,5.5,127451
1689465600,5.9,7.6,127451
1662940800,12.0,15.0,127451
1658188800,1.2,1.5,127451
1665273600,13.0,15.9,127451
1646352000,13.3,15.0,127451
1644019200,3.0,3.2,127451
1703376000,0.5,0.7,127451
1671580800,6.9,7.4,127451
1653350400,5.9,7.1,127451
1655769600,7.0,8.8,127451
1687824000,2.0,2.8,127451
1665878400,2.7,3.7,127451
1670371200,4.2,5.3,127451
1688515200,1.9,2.5,127451
1692576000,2.9,4.6,127451
1689206400,1.4,2.1,127451
1677456000,8.3,10.3,127451
1659052800,1.0,1.1,127451
1666310400,1.5,1.6,127451
1654214400,2.6,3.3,127451
1679702400,7.0,8.6,127451
1667174400,14.1,16.9,127451
1663286400,2.7,4.1,127451
1653955200,2.0,2.2,127451
1643587200,1.5,1.8,127451
1672617600,8.0,9.4,127451
1661472000,4.1,5.6,127451
1665446400,6.3,8.3,127451
1657411200,0.9,1.0,127451
1703289600,10.0,13.8,127451
1664064000,2.6,4.0,127451
1659571200,2.5,3.5,127451
1675987200,5.5,6.0,127451
1678579200,13.9,16.2,127451
1670630400,3.5,4.5,127451
1691193600,1.5,2.3,127451
1669161600,7.2,7.9,127451
1685145600,19.8,23.2,127451
1650412800,2.5,3.3,127451
1679356800,1.0,1.2,127451
1687046400,3.4,5.1,127451
1683417600,9.1,12.2,127451
1678406400,12.0,14.5,127451
1653264000,6.8,8.0,127451
1660348800,4.2,5.4,127451
1687564800,2.2,3.0,127451
1646870400,8.3,8.9,127451
1654560000,1.7,2.1,127451
1672531200,23.3,25.8,127451
1663718400,4.7,6.9,127451
1660521600,2.4,3.6,127451
1654128000,1.1,1.4,127451
1662249600,5.8,8.2,127451
1689292800,2.8,4.2,127451
1642723200,0.8,0.7,127451
1660003200,0.9,1.0,127451
1651363200,5.9,7.4,127451
1658966400,1.4,1.7,127451
1672790400,1.5,1.9,127451
1677542400,12.1,14.0,127451
1662076800,6.8,9.6,127451
1661731200,0.5,0.7,127451
1660435200,0.8,1.0,127451
1654300800,7.3,9.1,127451
1665014400,10.2,13.2,127451
1691884800,3.9,6.1,127451
1678492800,8.7,10.9,127451
1667433600,7.1,9.1,127451
1685577600,7.1,9.4,127451
1658016000,5.0,6.0,127451
1703808000,3.4,4.0,127451
1645488000,7.4,8.7,127451
1679875200,14.6,16.3,127451
1673654400,8.6,9.2,127451
1669420800,1.8,2.2,127451
1682208000,3.4,4.0,127451
1688169600,1.9,2.6,127451
1643155200,7.3,8.1,127451
1681171200,2.9,3.5,127451
1649635200,2.1,2.6,127451
1661644800,0.7,0.8,127451
1659312000,0.6,0.6,127451
1657756800,1.9,2.5,127451
1664496000,2.8,3.5,127451
1672876800,9.2,10.1,127451
1645574400,8.5,9.8,127451
1689379200,4.9,6.4,127451
1661904000,2.9,4.5,127451
1652659200,3.6,4.8,127451
1677974400,9.3,10.6,127451
1665964800,5.2,6.7,127451
1679443200,1.4,1.8,127451
1686009600,11.8,16.0,127451
1645833600,5.3,5.5,127451
1681948800,2.1,3.1,127451
1658620800,1.2,1.5,127451
1691280000,1.4,2.1,127451
1690934400,1.8,2.7,127451
1682467200,7.2,9.9,127451
1648771200,3.4,4.2,127451
1643500800,14.4,13.8,127451
1673395200,4.5,5.3,127451
1644192000,10.2,10.8,127451
1678147200,13.8,15.8,127451
1646179200,12.6,14.0,127451
1662508800,0.9,1.2,127451
1676764800,4.7,5.0,127451
1684454400,3.9,5.8,127451
1661558400,1.0,1.3,127451
1669507200,0.7,0.7,127451
1673049600,1.8,2.2,127451
1677801600,3.9,4.5,127451
1668729600,3.8,4.0,127451
1662768000,9.4,12.6,127451
1671408000,1.1,1.1,127451
1659225600,2.1,2.9,127451
1679788800,12.4,13.8,127451
1647561600,18.2,19.9,127451
1664755200,8.7,10.5,127451
1665619200,2.2,2.8,127451
1674086400,2.6,3.0,127451
1676678400,5.3,5.1,127451
1681689600,5.8,6.8,127451
1688083200,2.1,3.1,127451
1664668800,8.1,10.0,127451
1666569600,0.7,0.8,127451
1692835200,2.7,4.0,127451
1668816000,6.9,7.1,127451
1667692800,2.9,3.9,127451
1690416000,3.2,4.7,127451
1657843200,4.6,5.6,127451
1683590400,5.6,7.8,127451
1661817600,2.0,2.8,127451
1681516800,6.4,7.5,127451
1670716800,1.7,2.4,127451
1663459200,4.3,6.4,127451
1643760000,14.4,15.3,127451
1689984000,1.6,2.3,127451
1673827200,5.6,6.4,127451
1655251200,5.4,6.5,127451
1685491200,6.9,9.7,127451
1648857600,6.2,7.8,127451
1663891200,11.5,16.3,127451
1647043200,3.2,3.3,127451
1687910400,1.4,1.8,127451
1645660800,5.5,5.9,127451
1652227200,4.9,6.1,127451
1668643200,6.4,6.6,127451
1660608000,1.5,1.9,127451
1648339200,0.8,0.8,127451
1690070400,1.4,1.9,127451
1683504000,8.3,11.3,127451
1643414400,5.4,5.9,127451
1670544000,6.7,8.7,127451
1665705600,5.8,7.6,127451
1650931200,2.3,2.9,127451
1642896000,8.6,9.5,127451
