time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1703548800,2.8,2.9,166413
1690502400,6.9,7.4,166413
1691712000,4.7,5.0,166413
1703980800,8.2,8.7,166413
1703462400,4.3,4.6,166413
1692921600,9.2,9.7,166413
1696636800,5.2,5.5,166413
1703116800,7.6,8.1,166413
1700092800,5.5,5.8,166413
1693267200,12.1,12.6,166413
1689897600,5.4,5.7,166413
1696982400,6.1,6.7,166413
1699574400,2.3,2.5,166413
1694908800,10.6,11.2,166413
1703030400,3.2,3.4,166413
1701216000,12.0,12.6,166413
1690934400,5.5,5.9,166413
1703721600,3.6,3.6,166413
1694044800,4.4,4.7,166413
1698624000,2.1,2.2,166413
1695859200,12.4,13.4,166413
1694736000,11.1,11.9,166413
1690761600,5.5,5.8,166413
1702598400,23.0,23.8,166413
1698710400,5.0,5.1,166413
1703289600,4.4,5.0,166413
1701561600,15.8,16.7,166413
1700611200,6.0,6.1,166413
1700352000,17.5,18.2,166413
1699401600,1.6,1.7,166413
1701907200,6.6,7.1,166413
1702944000,6.2,6.5,166413
1695081600,11.4,11.9,166413
1697932800,3.9,4.5,166413
1696464000,8.0,8.0,166413
1695254400,5.0,5.5,166413
1692576000,6.7,7.1,166413
1691280000,4.1,4.4,166413
1689638400,7.3,7.7,166413
1700265600,13.4,14.1,166413
1702684800,4.6,4.9,166413
1694304000,11.7,11.9,166413
1693699200,7.8,8.2,166413
1702512000,7.0,7.4,166413
1693872000,7.4,7.9,166413
1693785600,8.8,9.3,166413
1695168000,8.1,8.5,166413
1689120000,6.5,6.9,166413
1697414400,2.6,2.7,166413
1702166400,1.6,1.7,166413
1699142400,6.2,6.7,166413
1699315200,2.6,2.9,166413
1688947200,6.6,7.0,166413
1697155200,5.0,5.6,166413
1698537600,3.1,3.4,166413
1697241600,2.4,2.6,166413
1689206400,4.4,4.7,166413
1696032000,4.8,5.1,166413
1701043200,3.4,3.5,166413
1689984000,5.0,5.3,166413
1690848000,6.0,6.4,166413
1695600000,7.1,7.7,166413
1693008000,13.9,14.7,166413
1692230400,9.3,10.1,166413
1690156800,6.8,7.2,166413
1689292800,6.5,6.9,166413
1697587200,8.3,8.6,166413
1693612800,14.8,15.6,166413
1702857600,12.4,12.9,166413
1694822400,6.9,7.5,166413
1697673600,3.8,4.2,166413
1698883200,5.9,6.1,166413
1701388800,13.4,14.3,166413
1695340800,2.8,3.1,166413
1702339200,4.0,4.3,166413
1696723200,4.3,4.5,166413
1700438400,7.8,8.4,166413
1691107200,3.4,3.7,166413
1696377600,10.6,10.8,166413
1690675200,6.0,6.4,166413
