time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1689465600,9.0,8.0,25999
1656633600,4.6,3.8,25999
1675296000,1.8,0.9,25999
1674086400,5.2,3.1,25999
1691193600,4.0,3.5,25999
1687651200,3.8,3.5,25999
1691539200,7.1,6.1,25999
1691625600,10.6,9.4,25999
1660521600,6.5,5.4,25999
1665100800,18.9,13.5,25999
1671148800,9.8,5.5,25999
1689811200,6.4,5.8,25999
1642291200,4.8,2.3,25999
1679011200,5.0,3.2,25999
1688774400,4.0,3.7,25999
1650931200,4.7,3.2,25999
1650672000,4.2,3.4,25999
1657152000,3.4,3.1,25999
1665792000,11.7,8.7,25999
1700092800,5.6,3.9,25999
1651536000,9.1,7.9,25999
1684540800,7.5,6.3,25999
1697846400,6.5,4.9,25999
1645833600,7.4,3.4,25999
1697328000,2.5,1.8,25999
1672704000,9.8,7.6,25999
1699920000,10.9,7.5,25999
1680739200,3.0,2.0,25999
1654819200,5.5,4.8,25999
1666137600,2.6,1.7,25999
1700006400,11.8,8.2,25999
1655683200,7.8,6.8,25999
1670716800,5.6,4.2,25999
1652227200,9.6,8.2,25999
1661990400,9.9,7.9,25999
1658707200,3.6,3.2,25999
1673222400,13.3,8.1,25999
1685664000,17.6,13.9,25999
1702857600,16.4,10.6,25999
1698624000,2.5,2.3,25999
1690588800,7.6,6.6,25999
1696118400,8.3,6.6,25999
1697587200,13.4,9.2,25999
1687737600,6.2,5.6,25999
1684195200,7.0,5.5,25999
1669680000,18.6,14.2,25999
1679875200,15.6,11.6,25999
1697241600,2.3,1.9,25999
1646092800,10.6,6.6,25999
1672358400,5.3,3.7,25999
1678320000,22.1,17.1,25999
1643932800,10.0,8.4,25999
1658102400,6.1,5.3,25999
1686960000,16.0,13.9,25999
1699142400,10.4,7.6,25999
1671926400,12.2,10.7,25999
1651622400,9.8,8.3,25999
1641168000,2.4,1.3,25999
1652918400,7.0,5.8,25999
1644624000,13.4,7.7,25999
1644969600,4.2,3.1,25999
1702080000,3.9,3.2,25999
1667001600,6.6,4.4,25999
1693267200,12.1,10.1,25999
1673654400,14.9,8.5,25999
1660867200,8.0,5.4,25999
1670025600,11.5,9.1,25999
1692230400,6.3,5.3,25999
1654905600,4.2,3.8,25999
1658793600,3.1,2.7,25999
1652054400,10.3,9.1,25999
1701302400,7.4,5.0,25999
1686009600,17.7,13.5,25999
1644192000,13.6,7.5,25999
1660608000,5.7,4.8,25999
1646784000,7.5,3.7,25999
1664668800,13.5,9.4,25999
1668729600,7.5,4.5,25999
1697932800,6.6,5.2,25999
1668124800,6.3,4.7,25999
1669075200,7.6,4.4,25999
1650067200,11.8,9.9,25999
1700352000,26.6,18.1,25999
1674345600,7.8,4.4,25999
1654300800,9.1,7.5,25999
1658966400,4.2,3.6,25999
1696464000,6.9,5.5,25999
1671235200,8.6,5.8,25999
1643241600,6.8,3.9,25999
1670371200,8.5,7.0,25999
1678924800,8.1,5.9,25999
1641513600,8.4,4.2,25999
1675382400,7.8,3.8,25999
1703376000,19.3,15.5,25999
1655769600,13.2,11.4,25999
1703635200,9.8,8.8,25999
1654041600,2.4,2.3,25999
1675641600,8.6,5.5,25999
1667174400,14.1,9.4,25999
1661817600,4.5,3.6,25999
1655424000,7.2,6.5,25999
1688256000,5.8,5.2,25999
1692403200,3.7,3.3,25999
1663718400,8.4,7.0,25999
1664236800,5.0,3.8,25999
1652745600,6.0,5.1,25999
1677888000,14.3,8.8,25999
