time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1684972800,6.8,6.7,161765
1675641600,0.6,0.3,161765
1722556800,5.2,4.7,161765
1716508800,3.2,2.9,161765
1726444800,10.9,10.6,161765
1731283200,12.2,11.8,161765
1718928000,1.0,0.6,161765
1723075200,17.7,16.9,161765
1730851200,5.6,5.4,161765
1731628800,4.2,4.0,161765
1719964800,7.5,7.0,161765
1728000000,7.2,6.8,161765
1730246400,6.7,5.9,161765
1733184000,3.6,3.4,161765
1719014400,1.1,0.7,161765
1730073600,8.2,7.8,161765
1733097600,4.0,3.8,161765
1732492800,5.2,4.8,161765
1731024000,6.0,5.5,161765
1726790400,9.5,8.2,161765
1719187200,0.5,0.2,161765
1722297600,9.2,8.6,161765
1729468800,16.5,16.4,161765
1727395200,4.5,4.1,161765
1716854400,31.8,31.1,161765
1729209600,3.7,3.4,161765
1726185600,11.0,10.2,161765
1719792000,6.5,6.2,161765
1731456000,4.7,4.4,161765
1722902400,21.2,18.4,161765
1722470400,6.6,6.5,161765
1730419200,12.5,11.6,161765
1719100800,0.8,0.5,161765
1718841600,1.5,1.0,161765
