time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1701820800,5.1,4.6,186327
1706313600,5.6,5.5,186327
1725667200,11.6,10.5,186327
1734220800,7.0,6.2,186327
1711584000,17.5,15.1,186327
1730764800,4.2,3.9,186327
1727481600,12.8,11.1,186327
1728000000,12.0,10.5,186327
1721433600,12.3,11.1,186327
1708387200,10.9,10.1,186327
1704931200,3.7,3.5,186327
1716422400,13.5,11.9,186327
1709424000,22.4,21.2,186327
1732060800,3.9,4.0,186327
1735257600,14.2,13.5,186327
1725494400,19.5,17.8,186327
1725321600,8.8,7.8,186327
1726444800,10.1,9.1,186327
1715385600,6.4,5.5,186327
1722988800,9.9,8.9,186327
1727308800,8.5,7.7,186327
1722643200,5.0,4.7,186327
1730937600,10.2,9.3,186327
1729641600,8.9,7.8,186327
1713312000,14.9,12.5,186327
1707696000,3.5,3.5,186327
1726099200,5.6,5.2,186327
1731110400,6.7,6.2,186327
1707955200,9.9,9.0,186327
1727136000,12.0,10.8,186327
1732406400,5.8,5.2,186327
1708560000,5.3,4.9,186327
1730592000,5.2,4.8,186327
1705708800,5.4,5.2,186327
1712016000,13.3,11.9,186327
1721952000,4.6,4.5,186327
1732838400,6.9,6.4,186327
1713052800,2.8,2.7,186327
1718236800,27.7,24.5,186327
1732233600,8.9,8.3,186327
1705104000,7.7,7.4,186327
1720137600,9.2,8.4,186327
1731801600,5.9,5.3,186327
1730419200,10.9,10.2,186327
1713139200,4.9,4.4,186327
1713916800,4.6,4.1,186327
1729036800,7.4,6.6,186327
1713744000,4.3,4.1,186327
1715558400,16.8,15.4,186327
1713484800,16.5,14.4,186327
1718755200,9.7,8.7,186327
1724976000,4.1,4.0,186327
1718409600,21.5,18.7,186327
1726963200,11.3,10.3,186327
1720224000,6.1,5.6,186327
1732147200,6.0,5.6,186327
1710201600,8.5,7.9,186327
1732924800,7.1,6.5,186327
1724112000,12.6,11.2,186327
1734652800,22.4,20.1,186327
1707436800,5.4,4.8,186327
1715299200,15.3,14.1,186327
1704844800,6.0,5.6,186327
1724284800,21.0,19.4,186327
1712188800,7.1,6.2,186327
1735430400,12.8,12.1,186327
1720915200,7.6,6.7,186327
1734825600,28.5,25.2,186327
1733616000,13.3,12.3,186327
1721520000,11.6,10.5,186327
1733097600,12.0,10.6,186327
1724371200,10.9,9.9,186327
1717804800,14.6,12.9,186327
1711065600,4.6,4.3,186327
1731369600,11.2,10.1,186327
1724889600,8.0,7.3,186327
1709596800,15.8,14.7,186327
1712534400,10.3,9.1,186327
1723248000,15.3,13.7,186327
1728604800,17.4,15.3,186327
1716768000,56.8,51.5,186327
1734912000,8.7,8.0,186327
1719187200,4.1,4.0,186327
1714608000,7.1,6.5,186327
1715644800,10.3,9.7,186327
1717632000,11.3,10.1,186327
1714003200,8.1,7.0,186327
1725753600,10.4,9.4,186327
1714521600,5.9,5.3,186327
1717891200,12.4,11.0,186327
1730505600,10.1,9.4,186327
1704758400,1.5,1.7,186327
1708905600,7.8,7.0,186327
1712707200,8.7,7.8,186327
1724716800,5.5,5.1,186327
1722384000,9.8,9.0,186327
1733875200,2.1,2.3,186327
1732665600,21.3,20.4,186327
1728086400,7.9,7.3,186327
1727827200,12.0,10.4,186327
1718064000,11.9,10.5,186327
1725580800,3.8,3.7,186327
1710028800,8.5,7.5,186327
1719705600,4.3,4.0,186327
1713398400,17.2,14.8,186327
1718582400,5.4,4.9,186327
1723939200,14.0,12.5,186327
1724630400,8.5,7.9,186327
1721260800,7.7,7.2,186327
1721174400,6.9,6.3,186327
1715472000,8.8,7.6,186327
1716336000,20.1,17.8,186327
1712102400,1.8,1.8,186327
1728950400,16.8,14.9,186327
1722211200,6.3,5.9,186327
1707091200,3.9,3.7,186327
1719792000,18.2,16.3,186327
1734998400,7.2,6.5,186327
1723075200,11.9,10.7,186327
1716249600,24.5,22.1,186327
1714348800,9.0,8.0,186327
1714089600,10.8,9.3,186327
1734566400,9.1,8.5,186327
1709337600,19.1,17.7,186327
1705190400,6.8,6.4,186327
1733270400,10.5,9.4,186327
1728864000,10.7,9.5,186327
1712448000,17.5,16.0,186327
1730678400,5.6,5.1,186327
1718496000,14.8,12.7,186327
1709769600,9.5,9.1,186327
1714176000,15.7,13.4,186327
1710547200,8.7,8.2,186327
1711670400,4.5,4.2,186327
1720051200,5.0,4.7,186327
1726272000,7.4,6.8,186327
1727395200,11.0,9.7,186327
1717545600,17.9,15.5,186327
1734739200,5.1,4.8,186327
1719619200,5.4,5.0,186327
1710806400,2.8,2.8,186327
