time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1664755200,11.0,13.9,98633
1665964800,9.7,11.8,98633
1686096000,15.3,18.5,98633
1645660800,11.8,14.6,98633
1649462400,3.3,3.9,98633
1684800000,31.2,34.0,98633
1649548800,2.3,2.6,98633
1680048000,9.0,11.1,98633
1655596800,4.5,5.4,98633
1679875200,19.2,22.5,98633
1677024000,13.7,17.2,98633
1686700800,12.6,14.9,98633
1685404800,10.1,11.8,98633
1655510400,5.0,6.0,98633
1680393600,14.5,17.7,98633
1647475200,5.3,6.8,98633
1660608000,4.4,5.4,98633
1681344000,7.9,9.6,98633
1661385600,8.5,10.4,98633
1665532800,6.6,8.5,98633
1679443200,4.2,5.2,98633
1679356800,3.0,3.7,98633
1670198400,9.5,11.6,98633
1642982400,11.3,14.0,98633
1682035200,4.4,5.5,98633
1670544000,9.3,11.5,98633
1642377600,17.7,21.7,98633
1673654400,8.0,11.6,98633
1652745600,4.9,6.0,98633
1677110400,17.4,21.6,98633
1646524800,8.3,10.4,98633
1685059200,22.9,25.7,98633
1661299200,4.5,5.6,98633
1676764800,8.0,11.2,98633
1645315200,12.8,15.5,98633
1683158400,9.2,11.7,98633
1672358400,6.0,7.4,98633
1661472000,14.1,17.3,98633
1641081600,11.2,13.7,98633
1641945600,7.5,9.2,98633
1672876800,6.7,9.0,98633
1667779200,6.2,8.0,98633
1664668800,12.0,14.9,98633
1650499200,5.0,6.1,98633
1642550400,4.9,5.9,98633
1677456000,12.6,15.9,98633
1643328000,7.8,9.4,98633
1673913600,19.1,23.4,98633
1650067200,10.7,12.9,98633
1663891200,18.8,23.4,98633
1660176000,7.2,9.0,98633
1682467200,12.1,15.2,98633
1676332800,5.4,6.8,98633
1658275200,5.2,6.4,98633
1643241600,8.2,10.1,98633
1680480000,14.1,17.8,98633
1663718400,8.7,11.2,98633
1666224000,4.2,5.5,98633
1658620800,3.7,4.6,98633
1654992000,5.9,7.3,98633
1676937600,7.2,9.2,98633
1676160000,12.1,17.8,98633
1670716800,4.6,5.8,98633
1651104000,6.2,7.4,98633
1656374400,11.1,13.1,98633
1677283200,10.0,12.4,98633
1662940800,15.6,19.6,98633
1650931200,4.7,5.6,98633
1680652800,9.8,12.4,98633
1671408000,3.3,5.0,98633
1678320000,22.2,27.0,98633
1651708800,8.0,9.8,98633
1652832000,6.1,7.4,98633
1686873600,11.3,14.1,98633
1663545600,3.7,4.7,98633
1650240000,9.7,11.5,98633
1680307200,13.5,16.7,98633
1649635200,4.3,5.2,98633
1675123200,3.9,6.8,98633
1655337600,8.2,9.8,98633
1660262400,7.5,9.4,98633
1678060800,25.1,30.2,98633
1679702400,10.8,13.2,98633
1654819200,5.8,7.1,98633
1659139200,4.1,5.0,98633
1675987200,10.6,14.9,98633
1684022400,6.3,7.7,98633
1668038400,8.3,10.6,98633
1646956800,14.6,17.5,98633
1661904000,6.4,8.1,98633
1644537600,10.0,12.1,98633
1683331200,16.7,19.6,98633
1668643200,8.1,11.9,98633
1660003200,3.0,3.7,98633
1668556800,6.8,10.7,98633
1664236800,5.0,6.2,98633
1669420800,4.5,5.5,98633
1666828800,7.9,10.5,98633
1658016000,7.0,8.4,98633
1641600000,11.0,13.6,98633
1654300800,10.1,12.1,98633
1684281600,7.3,8.8,98633
1644364800,7.4,9.3,98633
1669852800,3.1,4.3,98633
1651017600,3.7,4.5,98633
1660694400,4.6,5.7,98633
1656892800,6.5,8.0,98633
1643760000,7.8,9.4,98633
1658534400,4.6,5.6,98633
1664582400,7.7,9.8,98633
1681430400,3.9,4.8,98633
1653868800,7.5,9.3,98633
1668902400,9.0,13.7,98633
1656288000,7.2,8.9,98633
1656115200,6.4,8.0,98633
1662681600,14.3,17.9,98633
1669939200,5.2,6.6,98633
1663113600,11.1,14.2,98633
1664841600,8.6,11.1,98633
1654387200,10.2,12.2,98633
1655251200,8.4,10.2,98633
