time_stamp,pm2.5_alt_a,pm2.5_alt_b,sensor_index
1658534400,5.1,5.6,96899
1644796800,8.4,9.4,96899
1698278400,5.9,5.7,96899
1697155200,6.3,5.8,96899
1663804800,16.0,17.7,96899
1687910400,4.6,4.9,96899
1652659200,6.6,7.2,96899
1698624000,2.2,2.6,96899
1683590400,7.6,8.5,96899
1653609600,5.5,6.0,96899
1695340800,3.3,3.3,96899
1648339200,2.3,2.6,96899
1700352000,29.4,30.1,96899
1671580800,8.3,8.2,96899
1648771200,5.9,6.6,96899
1701907200,12.8,15.5,96899
1676160000,10.0,9.9,96899
1651968000,20.2,22.3,96899
1692835200,6.1,6.0,96899
1664323200,5.4,6.0,96899
1687392000,14.4,15.1,96899
1698710400,4.9,5.6,96899
1677456000,11.2,11.5,96899
1679443200,5.0,5.4,96899
1679097600,2.7,2.8,96899
1666742400,4.1,4.4,96899
1677715200,16.2,16.7,96899
1670889600,11.0,11.3,96899
1655424000,7.6,8.2,96899
1696896000,7.6,6.9,96899
1684972800,19.4,20.4,96899
1650067200,10.5,12.0,96899
1667952000,10.4,11.1,96899
1686441600,3.9,4.1,96899
1686096000,17.8,19.0,96899
1653264000,11.2,12.2,96899
1662336000,5.2,5.8,96899
1663632000,4.9,5.6,96899
1665446400,10.4,11.4,96899
1660089600,3.9,4.3,96899
1668124800,7.3,7.8,96899
1676937600,7.3,7.1,96899
1655769600,13.0,14.0,96899
1676764800,6.8,6.7,96899
1698105600,3.3,3.3,96899
1655337600,7.8,8.3,96899
1648598400,5.3,5.9,96899
1697587200,10.1,11.3,96899
1681948800,6.1,6.7,96899
1650844800,4.7,5.3,96899
1651536000,8.9,9.9,96899
1696032000,5.4,5.2,96899
1657152000,3.0,3.3,96899
1658188800,2.8,3.0,96899
1697068800,8.6,8.6,96899
1686614400,6.7,7.1,96899
1656460800,9.8,10.8,96899
1689638400,7.0,7.3,96899
1685145600,28.2,29.4,96899
1700006400,11.0,9.8,96899
1669939200,7.4,7.7,96899
1642204800,5.0,5.6,96899
1656115200,6.3,6.8,96899
1676073600,5.1,5.2,96899
1666828800,10.5,11.3,96899
1656979200,7.2,7.8,96899
1651276800,6.8,7.6,96899
1684627200,25.2,26.7,96899
1665964800,9.2,10.0,96899
1687737600,5.0,5.3,96899
1651017600,5.6,6.3,96899
1686268800,9.6,10.1,96899
1647734400,9.7,11.0,96899
1689120000,5.6,5.9,96899
1649548800,2.1,2.3,96899
1665532800,11.3,12.7,96899
1682035200,3.4,3.8,96899
1659916800,2.8,3.2,96899
1702512000,11.8,12.9,96899
1666569600,2.2,2.4,96899
1645142400,6.5,7.1,96899
1671667200,21.4,21.3,96899
1663027200,13.4,14.7,96899
1659225600,5.5,6.0,96899
1677283200,11.3,11.6,96899
1703808000,6.7,8.1,96899
1683072000,9.2,10.1,96899
1676505600,6.5,6.3,96899
1698019200,4.0,4.0,96899
1644451200,5.7,6.4,96899
1687132800,7.6,8.1,96899
1646179200,10.3,11.7,96899
1703462400,1.8,2.3,96899
1668470400,3.4,3.5,96899
1668729600,8.3,8.7,96899
1658793600,2.8,3.1,96899
1690070400,6.7,7.0,96899
1690156800,7.0,7.3,96899
1658448000,6.5,7.0,96899
1651881600,15.4,17.0,96899
1668902400,7.5,7.8,96899
1683763200,10.6,11.7,96899
1695772800,10.2,10.0,96899
1687824000,4.5,4.7,96899
1644624000,11.7,13.3,96899
1658361600,6.1,6.6,96899
1697500800,7.3,8.4,96899
1664236800,4.4,4.9,96899
1694563200,11.9,11.6,96899
1656201600,8.5,9.2,96899
1673308800,13.7,13.6,96899
1652572800,5.2,5.7,96899
1686960000,16.1,16.8,96899
1697414400,1.6,1.9,96899
1695513600,3.5,3.5,96899
1644105600,14.2,15.7,96899
1645228800,12.0,13.3,96899
1661990400,9.0,10.0,96899
1646784000,7.2,8.0,96899
1680307200,10.0,10.9,96899
1671321600,12.3,12.7,96899
1660694400,3.9,4.3,96899
1672358400,4.8,4.8,96899
1693440000,17.1,16.3,96899
1673049600,3.2,3.3,96899
1703894400,11.1,12.3,96899
1674259200,4.7,4.7,96899
1643328000,8.4,9.3,96899
1691280000,4.0,4.1,96899
1684195200,6.1,6.8,96899
1696982400,6.1,5.5,96899
1682121600,5.0,5.6,96899
1687305600,11.3,12.1,96899
1673913600,20.7,21.1,96899
1644883200,5.7,6.5,96899
1644192000,15.3,17.2,96899
1695600000,5.8,5.7,96899
1669680000,17.7,18.4,96899
1659830400,4.2,4.7,96899
1641081600,7.8,8.6,96899
1690934400,5.8,5.9,96899
1691020800,8.1,8.3,96899
1658102400,5.6,6.0,96899
1660521600,6.0,6.7,96899
1655078400,8.3,8.8,96899
1696464000,6.8,6.1,96899
1691712000,4.6,4.6,96899
1696550400,8.9,7.9,96899
1663545600,4.1,4.6,96899
1662163200,10.0,11.2,96899
1654041600,2.4,2.6,96899
1667001600,5.8,6.2,96899
1666656000,1.6,1.7,96899
1687219200,11.0,11.6,96899
1669248000,13.5,14.0,96899
1696809600,7.9,9.0,96899
1703203200,15.2,12.4,96899
1689552000,9.2,9.5,96899
1682294400,4.7,5.1,96899
1688860800,3.1,3.3,96899
1659484800,4.1,4.5,96899
1701734400,12.9,14.8,96899
1649289600,0.8,1.0,96899
1670457600,14.0,14.4,96899
1685750400,11.9,12.5,96899
1644278400,4.6,5.1,96899
1650412800,5.2,5.7,96899
1654646400,8.2,8.7,96899
1680912000,4.4,4.7,96899
1664064000,7.0,7.8,96899
1682812800,3.5,3.8,96899
1681257600,10.2,10.9,96899
1679875200,14.1,15.1,96899
1648166400,6.0,6.8,96899
1661040000,6.7,7.4,96899
1698883200,15.9,19.8,96899
1672185600,12.9,13.0,96899
1649462400,4.2,4.8,96899
1643932800,7.3,7.7,96899
1668556800,7.7,7.9,96899
1642809600,5.6,6.3,96899
1645574400,7.6,8.4,96899
1696291200,8.3,7.8,96899
1650499200,5.5,6.1,96899
1670112000,10.0,10.2,96899
1689984000,5.5,5.8,96899
